"Šifra";"Brend"
"000053_PLAVA";"SEKLO"
"000053_SIVA";"SEKLO"
"00015_YELLOW";"TAIM D.O.O."
"0001_BLACK";"TAIM D.O.O."
"0001_BROWN";"TAIM D.O.O."
"0001_RED";"TAIM D.O.O."
"000602";"KINGSMITH"
"00099_BROWN";"GEZER"
"001046";"KINGSMITH"
"001047";"KINGSMITH"
"001058";"YESOUL"
"001086";"YESOUL"
"001254";"YESOUL"
"001290";"KINGSMITH"
"001291";"KINGSMITH"
"001291S";"KINGSMITH"
"001306";"KINGSMITH"
"001322";"YESOUL"
"001323";"YESOUL"
"001324";"YESOUL"
"001337";"KINGSMITH"
"001338";"KINGSMITH"
"001343";"YESOUL"
"001346";"KINGSMITH"
"001347";"KINGSMITH"
"001358";"NARWAL"
"001364";"KINGSMITH"
"001380";"NARWAL"
"001393";"NARWAL"
"001403";"KINGSMITH"
"001412";"YESOUL"
"001420";"YESOUL"
"001424";"NARWAL"
"001425";"NARWAL"
"001447";"YESOUL"
"001447_";"YESOUL"
"001475";"YESOUL"
"0014_2_BLACK";"AZZURO"
"0014_2_COFFE";"AZZURO"
"0014_6A_COFFE";"AZZURO"
"001_BLACK";"TAIM D.O.O."
"001_WHITE";"PRESTIGE"
"0023_1_COFFE";"AZZURO"
"0032201_BLACK";"SEKLO"
"0032201_BLUE";"SEKLO"
"0032201_BORDO";"SEKLO"
"0032201_BROWN";"SEKLO"
"0032_4_BLACK";"AZZURO"
"003_WHITE";"TAIM D.O.O."
"004_BLACK";"TAIM D.O.O."
"005_BROWN";"TAIM D.O.O."
"00632_BEIGE";"GEZER"
"00632_BLACK";"GEZER"
"006_WHITE";"TAIM D.O.O."
"0071_NAVY";"TAIM D.O.O."
"007_BLUE";"TAIM D.O.O."
"007_RED";"TAIM D.O.O."
"0101_BLACK";"NW"
"0101_GREY";"NW"
"0101_WHITE";"NW"
"0102_BLACK";"NW"
"0102_BLUE";"NW"
"0102_WHITE";"NW"
"010_011_BLACK";"Conway"
"010_011_RED";"Conway"
"010_486_BLACK";"Conway"
"010_GREY";"MANZOTTI"
"010_WHITE";"TAIM D.O.O."
"0110001_C513_PLAVA";"WOOLF"
"0110001_ZUTA";"WOOLF"
"01120_111_CRNA";"NW"
"01120_111_PLAVA";"NW"
"01120_111_SIVA";"NW"
"01120_123_SIVA";"NW"
