"Šifra";"Veličina ključ";"Barkod";"ERP veličina"
"001047";"";"1100110684370";"XY"
"001_BLACK";"100CM";"1100110310835";"100cm"
"001_BLACK";"120CM";"1100110310842";"120cm"
"001_BLACK";"150CM";"1100110310859";"150cm"
"001_BLACK";"45CM";"1100110310804";"45cm"
"001_BLACK";"60CM";"1100110310811";"60cm"
"001_BLACK";"80CM";"1100110310828";"80cm"
"001_WHITE";"100CM";"1100110682772";"100cm"
"001_WHITE";"120CM";"1100110682789";"120cm"
"001_WHITE";"150CM";"1100110682796";"150cm"
"001_WHITE";"60CM";"1100110682758";"60cm"
"001_WHITE";"75CM";"1100110682802";"75cm"
"001_WHITE";"90CM";"1100110682765";"90cm"
"0032201_BLACK";"36";"1100110606761";"36"
"0032201_BLACK";"37";"1100110606778";"37"
"0032201_BLACK";"38";"1100110606785";"38"
"0032201_BLACK";"39";"1100110606792";"39"
"0032201_BLACK";"40";"1100110606808";"40"
"0032201_BLACK";"41";"1100110606815";"41"
"0032201_BLACK";"42";"1100110606822";"42"
"0032201_BLUE";"36";"1100110606693";"36"
"0032201_BLUE";"37";"1100110606709";"37"
"0032201_BLUE";"38";"1100110606716";"38"
"0032201_BLUE";"39";"1100110606723";"39"
"0032201_BLUE";"40";"1100110606730";"40"
"0032201_BLUE";"41";"1100110606747";"41"
"0032201_BLUE";"42";"1100110606754";"42"
"0032201_BORDO";"36";"1100110606624";"36"
"0032201_BORDO";"37";"1100110606631";"37"
"0032201_BORDO";"38";"1100110606648";"38"
"0032201_BORDO";"39";"1100110606655";"39"
"0032201_BORDO";"40";"1100110606662";"40"
"003_WHITE";"100CM";"1100110310774";"100cm"
"003_WHITE";"120CM";"1100110310781";"120cm"
"003_WHITE";"150CM";"1100110310798";"150cm"
"003_WHITE";"45CM";"1100110310743";"45cm"
"003_WHITE";"60CM";"1100110310750";"60cm"
"003_WHITE";"80CM";"1100110310767";"80cm"
"004_BLACK";"100CM";"1100110310712";"100cm"
"004_BLACK";"120CM";"1100110310729";"120cm"
"004_BLACK";"150CM";"1100110310736";"150cm"
"004_BLACK";"160CM";"1100110410764";"160cm"
"004_BLACK";"45CM";"1100110310682";"45cm"
"004_BLACK";"60CM";"1100110310699";"60cm"
"004_BLACK";"80CM";"1100110310705";"80cm"
"005_BROWN";"100CM";"1100110311016";"100cm"
"005_BROWN";"120CM";"1100110311023";"120cm"
"005_BROWN";"150CM";"1100110311030";"150cm"
"005_BROWN";"45CM";"1100110310989";"45cm"
"005_BROWN";"60CM";"1100110310996";"60cm"
"005_BROWN";"80CM";"1100110311009";"80cm"
"007_BLUE";"100CM";"1100110309464";"100cm"
"007_BLUE";"120CM";"1100110309471";"120cm"
"007_BLUE";"150CM";"1100110309488";"150cm"
"007_BLUE";"60CM";"1100110309440";"60cm"
"007_BLUE";"80CM";"1100110309457";"80cm"
"007_RED";"100CM";"1100110311078";"100cm"
"007_RED";"120CM";"1100110311085";"120cm"
"007_RED";"150CM";"1100110311092";"150cm"
"007_RED";"45CM";"1100110311047";"45cm"
"007_RED";"60CM";"1100110311054";"60cm"
"007_RED";"80CM";"1100110311061";"80cm"
"0101_WHITE";"39-40";"1100110653031";"39/40"
"0101_WHITE";"41-42";"1100110653048";"41/42"
"0101_WHITE";"43-44";"1100110653055";"43/44"
"0101_WHITE";"45-46";"1100110653062";"45/46"
"0102_WHITE";"39-40";"1100110653154";"39/40"
"0102_WHITE";"41-42";"1100110653161";"41/42"
"0102_WHITE";"43-44";"1100110653178";"43/44"
"0102_WHITE";"45-46";"1100110653185";"45/46"
"010_WHITE";"100CM";"1100110311597";"100cm"
"010_WHITE";"120CM";"1100110311603";"120cm"
"010_WHITE";"150CM";"1100110311610";"150cm"
"010_WHITE";"60CM";"1100110311573";"60cm"
"010_WHITE";"80CM";"1100110311580";"80cm"
"01120_111_CRNA";"40-42";"1100110109965";"40-42"
"01120_111_CRNA";"43-44";"1100110109972";"43-44"
"01120_111_CRNA";"45-46";"1100110109989";"45-46"
"01129_110";"40-42";"3858888267049";"40-42"
"01129_110";"43-44";"3858888267070";"43-44"
"01129_110";"45-46";"3858888267100";"45-46"
"011_BLACK";"100CM";"1100110311542";"100cm"
"011_BLACK";"120CM";"1100110311559";"120cm"
"011_BLACK";"150CM";"1100110311566";"150cm"
"011_BLACK";"60CM";"1100110311528";"60cm"
"011_BLACK";"80CM";"1100110311535";"80cm"
"021218_BROWN";"";"1100110507648";"XY"
"022005_WHITE";"36";"1100110233295";"36"
"022005_WHITE";"37";"1100110233301";"37"
"022005_WHITE";"38";"1100110233318";"38"
"022005_WHITE";"39";"1100110233325";"39"
"022005_WHITE";"40";"1100110233332";"40"
"022005_WHITE";"41";"1100110233349";"41"
"02230_090";"36-38";"3858888267131";"36-38"
"02230_090";"39-41";"3858888267186";"39-41"
"02235_096";"36-38";"1100110541871";"36-38"
"02235_096";"39-41";"1100110541888";"39-41"
"0246_WHITE";"41";"1100110698568";"41"
"0246_WHITE";"42";"1100110314680";"42"
"0246_WHITE";"43";"1100110314697";"43"
"0246_WHITE";"44";"1100110314703";"44"
"0246_WHITE";"45";"1100110314710";"45"
"0246_WHITE";"46";"1100110698551";"46"
"0247_WHITE";"37";"1100110314727";"37"
"0247_WHITE";"38";"1100110314734";"38"
"0247_WHITE";"39";"1100110314741";"39"
"0247_WHITE";"40";"1100110314758";"40"
"0247_WHITE";"41";"1100110698032";"41"
"02580_MAVI";"25";"1100110099839";"25"
"02580_MAVI";"26";"1100110099846";"26"
"02580_MAVI";"27";"1100110099853";"27"
"02580_MAVI";"28";"1100110099860";"28"
"02580_MAVI";"29";"1100110099877";"29"
"02580_MAVI";"30";"1100110099884";"30"
"02884_PINK";"21";"1100110364340";"21"
"02884_PINK";"22";"1100110364357";"22"
"02884_PINK";"23";"1100110364364";"23"
"02884_PINK";"24";"1100110364371";"24"
"03034_BLUE";"21";"1100110364067";"21"
"03034_BLUE";"22";"1100110364074";"22"
"03034_BLUE";"23";"1100110364081";"23"
"03034_BLUE";"24";"1100110364098";"24"
"03085_RED_NAVY";"20";"1100110393449";"20"
"03085_RED_NAVY";"21";"1100110393456";"21"
"03085_RED_NAVY";"22";"1100110393463";"22"
"03085_RED_NAVY";"23";"1100110393470";"23"
"03085_RED_NAVY";"24";"1100110393487";"24"
"03085_RED_NAVY";"25";"1100110393494";"25"
"03101_BLACK";"20";"1100110379719";"20"
"03101_BLACK";"21";"1100110379726";"21"
"03101_BLACK";"22";"1100110379733";"22"
"03101_BLACK";"23";"1100110379740";"23"
"03101_BLACK";"24";"1100110379757";"24"
"03101_BLACK";"25";"1100110379764";"25"
"03205";"20";"1100110620606";"20"
"03205";"21";"1100110620613";"21"
"03205";"22";"1100110620620";"22"
"03205";"23";"1100110620637";"23"
"03205";"24";"1100110620644";"24"
"03205";"25";"1100110620651";"25"
"0321_BLUE";"40";"1100110682666";"40"
"0321_BLUE";"41";"1100110682673";"41"
"0321_BLUE";"42";"1100110682680";"42"
"0321_BLUE";"43";"1100110682697";"43"
"0321_BLUE";"44";"1100110682703";"44"
"0321_BLUE";"45";"1100110682710";"45"
"0321_BLUE";"46";"1100110682727";"46"
"06356_BROWN";"100CM";"1100110266439";"100cm"
"06356_BROWN";"120CM";"1100110101778";"120cm"
"06356_BROWN";"150CM";"1100110101785";"150cm"
"06356_BROWN";"45CM";"1100110101747";"45cm"
"06356_BROWN";"60CM";"1100110101754";"60cm"
"06356_BROWN";"90CM";"1100110101761";"90cm"
"0711_OLIVE";"100CM";"1100110311481";"100cm"
"0711_OLIVE";"120CM";"1100110311498";"120cm"
"0711_OLIVE";"150CM";"1100110311504";"150cm"
"0711_OLIVE";"160CM";"1100110311511";"160cm"
"0711_OLIVE";"60CM";"1100110311467";"60cm"
"0711_OLIVE";"80CM";"1100110311474";"80cm"
"080_GREY";"100CM";"1100110309914";"100cm"
"080_GREY";"120CM";"1100110309921";"120cm"
"080_GREY";"150CM";"1100110309938";"150cm"
"080_GREY";"60CM";"1100110309891";"60cm"
"080_GREY";"80CM";"1100110309907";"80cm"
"090_BEIGE";"100CM";"1100110310019";"100cm"
"090_BEIGE";"120CM";"1100110310026";"120cm"
"090_BEIGE";"150CM";"1100110310033";"150cm"
"090_BEIGE";"60CM";"1100110309990";"60cm"
"090_BEIGE";"80CM";"1100110310002";"80cm"
"09878_1BLACK";"41";"1100110645074";"41"
"09878_1BLACK";"42";"1100110645081";"42"
"09878_1BLACK";"43";"1100110645098";"43"
"09878_1BLACK";"44";"1100110645104";"44"
"09878_1BLACK";"45";"1100110645111";"45"
"09878_1BLACK";"46";"1100110645128";"46"
"09878_1BROWN";"41";"1100110653239";"41"
"09878_1BROWN";"42";"1100110653246";"42"
"09878_1BROWN";"43";"1100110653253";"43"
"09878_1BROWN";"44";"1100110653260";"44"
"09878_1BROWN";"45";"1100110653277";"45"
"09878_1BROWN";"46";"1100110653284";"46"
"1001426_ADVENTURE";"";"1100110715791";"XY"
"1001426_PRO";"";"1100110715807";"XY"
"1001426_START";"";"1100110715784";"XY"
"1001426_TA";"";"1100110635723";"XY"
"100617_BROWN";"40";"1100110716996";"40"
"100617_BROWN";"41";"1100110666703";"41"
"100617_BROWN";"42";"1100110666710";"42"
"100617_BROWN";"43";"1100110666727";"43"
"100617_BROWN";"44";"1100110666734";"44"
"100617_BROWN";"45";"1100110666741";"45"
"100617_BROWN";"46";"1100110666758";"46"
"100617_BROWN";"47";"1100110666765";"47"
"100617_BROWN";"48";"1100110666772";"48"
"100617_BROWN";"49";"1100110717009";"49"
"100_NAVY";"36";"1100110619563";"36"
"100_NAVY";"37";"1100110619570";"37"
"100_NAVY";"38";"1100110619587";"38"
"100_NAVY";"39";"1100110619594";"39"
"100_NAVY";"40";"1100110619600";"40"
"100_NAVY";"41";"1100110619617";"41"
"10127_WHITE";"30";"1100110662927";"30"
"10127_WHITE";"31";"1100110662934";"31"
"10127_WHITE";"32";"1100110662941";"32"
"10127_WHITE";"33";"1100110662958";"33"
"10127_WHITE";"34";"1100110662965";"34"
"10127_WHITE";"35";"1100110662972";"35"
"10179_1OLIVE";"36";"1100110680174";"36"
"10179_1OLIVE";"37";"1100110680181";"37"
"10179_1OLIVE";"38";"1100110680198";"38"
"10179_1OLIVE";"39";"1100110680204";"39"
"10179_1OLIVE";"40";"1100110680211";"40"
"10179_NAVY";"28";"1100110679963";"28"
"10179_NAVY";"29";"1100110679970";"29"
"10179_NAVY";"30";"1100110679987";"30"
"10179_NAVY";"31";"1100110679994";"31"
"10179_NAVY";"32";"1100110680006";"32"
"10179_NAVY";"33";"1100110680013";"33"
"10179_NAVY";"34";"1100110680020";"34"
"10179_NAVY";"35";"1100110680037";"35"
"10179_OLIVE";"28";"1100110680044";"28"
"10179_OLIVE";"29";"1100110680051";"29"
"10179_OLIVE";"30";"1100110680068";"30"
"10179_OLIVE";"31";"1100110680075";"31"
"10179_OLIVE";"32";"1100110680082";"32"
"10179_OLIVE";"33";"1100110680099";"33"
"10179_OLIVE";"34";"1100110680105";"34"
"10179_OLIVE";"35";"1100110680112";"35"
"1020_BLACK";"";"1100110672865";"XY"
"1024_BLACK";"36";"1100110558756";"36"
"1024_BLACK";"37";"1100110558763";"37"
"1024_BLACK";"38";"1100110558770";"38"
"1024_BLACK";"39";"1100110558787";"39"
"1024_BLACK";"40";"1100110558794";"40"
"1024_BLACK";"41";"1100110558800";"41"
"1024_BLACK";"42";"1100110558817";"42"
"1024_WHITE";"36";"1100110559937";"36"
"1024_WHITE";"37";"1100110559944";"37"
"1024_WHITE";"38";"1100110559951";"38"
"1024_WHITE";"39";"1100110559968";"39"
"1024_WHITE";"40";"1100110559975";"40"
"1024_WHITE";"41";"1100110559982";"41"
