Sifra;SidrenaCijena;NazivAkcije;Barkod;JedinicaMjere;CijenaPoJedinici;DatumSidrene
001047;549.00;;;;;
0101_WHITE;15.99;;;;;
0102_WHITE;15.99;;;;;
01129_110;3.29;;;;;
01175_110_BIJELA;4.49;;;;;
01186_BLACK;13.14;;;;;
01186_BROWN;13.14;;;;;
022005_WHITE;30.39;;;;;
02230_090;3.19;;;;;
02235_096;5.49;;;;;
0246_WHITE;52.96;;;;;
0247_WHITE;52.96;;;;;
02580_MAVI;10.49;;;;;
02884_PINK;9.09;;;;;
03034_BLUE;9.09;;;;;
03085_RED_NAVY;9.09;;;;;
09878_1BLACK;18.99;;;;;
09878_1BROWN;18.99;;;;;
1001426_TA;39.99;;;;;
100_NAVY;16.99;;;;;
10127_WHITE;41.99;;;;;
10179_1OLIVE;54.99;;;;;
10179_NAVY;49.99;;;;;
10179_OLIVE;49.99;;;;;
102021_BLACK_B;19.99;;;;;
10231_BLACK;19.99;;;;;
1024_BLACK;46.99;;;;;
1024_WHITE;46.99;;;;;
10268_BLK_WHITE;46.99;;;;;
102690_GREY;46.99;;;;;
10273_PINK;40.99;;;;;
10274_NAVY;51.99;;;;;
10297_GREEN;40.99;;;;;
10404_NAVY;49.99;;;;;
10408_NAVY;32.99;;;;;
10408_PINK;32.99;;;;;
10413_GREY;51.99;;;;;
1041_WHITE;29.99;;;;;
1060_PINK;21.10;;;;;
1060_PURPLE;21.10;;;;;
1060_WHITE_G;29.99;;;;;
10615_BLUE;11.99;;;;;
10615_GREEN;11.99;;;;;
10615_PINK;11.99;;;;;
10615_PINKY;11.99;;;;;
10615_PURPLE;11.99;;;;;
1082_WHITE;29.99;;;;;
10989_1_YELLOW;37.99;;;;;
10989_BLACK;12.99;;;;;
10989_YELLOW;32.99;;;;;
110_BLACK;59.99;;;;;
1110_BLACK;42.99;;;;;
11123_GREY;11.99;;;;;
1112_CRNA;4.49;;;;;
1112_SIVA;4.49;;;;;
11448_BLACK;14.99;;;;;
11448_BLUE;14.99;;;;;
11448_D_BLUE;14.99;;;;;
11449_BLACK;15.99;;;;;
11449_GREEN;15.99;;;;;
11449_LILA;15.99;;;;;
11449_PINK;15.99;;;;;
1150_BLACK;36.99;;;;;
117561_PURPLE;72.99;;;;;
1175_WHITE;10.99;;;;;
117617_PINK;81.99;;;;;
119_BLACK;59.99;;;;;
11_0324_17_NAVY;9.16;;;;;
12394_BB533_06601;30.99;;;;;
1250_N_BLACK;46.99;;;;;
12615_GREY;64.99;;;;;
12980_WHITE;72.99;;;;;
129_BLUE;6.50;;;;;
129_TIRKIZ;6.50;;;;;
129_ZLENA_J;6.50;;;;;
13087_WHITE;81.99;;;;;
13464_BEIGEB;19.99;;;;;
13464_BEIGEBL;19.99;;;;;
13464_BEIGEN;19.99;;;;;
13464_BLACKB;19.99;;;;;
13464_BORDOW;19.99;;;;;
13466_1FLOWER;22.99;;;;;
13466_BLACK_FLOW;22.99;;;;;
13466_BLK_WHITE;19.99;;;;;
13467_BLACK;21.99;;;;;
13467_NAVY;21.99;;;;;
134_GREEN_APPLE;6.50;;;;;
134_RED;6.50;;;;;
1350_1BLACK;28.99;;;;;
1350_1WHITE;28.99;;;;;
1352_1BLACK;28.99;;;;;
1352_1BLUE;28.99;;;;;
1352_1WHITE;28.99;;;;;
1364_BLUE;28.99;;;;;
1372_1BLACK;28.99;;;;;
1372_NAVY;28.99;;;;;
1372_WHITE;28.99;;;;;
138_BLACK;5.18;;;;;
138_MALINE;5.18;;;;;
138_RED;5.18;;;;;
145_WHITE;59.99;;;;;
14634_1RED;17.99;;;;;
14634_BLACK;17.99;;;;;
14634_NAVY;17.99;;;;;
14634_PINK;17.99;;;;;
14634_WHITE;17.99;;;;;
1468_BLACK;30.39;;;;;
149536_PINK;71.99;;;;;
149691_BLACK;71.99;;;;;
150025_WHITE;82.99;;;;;
15003;39.99;;;;;
15005_NERO;39.99;;;;;
150111_BLACK;79.99;;;;;
15158_1WHITE;20.99;;;;;
15158_2WHITE;20.99;;;;;
15158_WHITE;20.99;;;;;
154412_WHITE;24.99;;;;;
155196_BLACK;86.99;;;;;
15K0012002_BEIGE;69.99;;;;;
15K0313006_1NAVY;59.99;;;;;
15K0313006_NAVY;59.99;;;;;
15K0323003_NAVY;58.99;;;;;
1642_GREY;29.99;;;;;
1772_BLUE;32.99;;;;;
1772_WHITE;32.99;;;;;
1999434_G_37_40;5.18;;;;;
1999434_LIME;5.18;;;;;
2008_WHITE;26.41;;;;;
2014_MIX;3.49;;;;;
2019_13_PLAVA;17.12;;;;;
2019_39_BLACK;9.16;;;;;
2019_40_BEIGE_1;9.16;;;;;
2019_41_GREY_1;9.16;;;;;
2019_92_BORDO;17.12;;;;;
2019_93_BLUE;17.12;;;;;
2019_BLACK;53.99;;;;;
2019_N_BLACK;54.99;;;;;
2022_N_BLACK;51.99;;;;;
2022_N_MINT;51.99;;;;;
2022_N_PERLA;51.99;;;;;
2022_N_SILVER;51.99;;;;;
2022_N_WHITE;51.99;;;;;
2023_BLACK_L;49.99;;;;;
2023_PERLA_L;49.99;;;;;
2023_WHITE_L;49.99;;;;;
203053B_BEIGE;24.99;;;;;
20337_BEIGE;24.99;;;;;
20337_PINK;24.99;;;;;
203397_BEIGE;24.99;;;;;
203397_BLK;24.99;;;;;
203397_GIRL;24.99;;;;;
203397_HEART;24.99;;;;;
203399_GREY;24.99;;;;;
2162_RED;17.12;;;;;
2164_PINK;39.68;;;;;
2164_PURPLE;39.68;;;;;
2193_BLUE;24.99;;;;;
220635_1H8;69.99;;;;;
232399_BLACK;72.99;;;;;
23438_BORDO;27.99;;;;;
237704_BLACK;72.99;;;;;
2378_BLACK;22.99;;;;;
2378_GREY;22.99;;;;;
2378_KHAKI;22.99;;;;;
2400000X_GREY;44.99;;;;;
2400001U_WHITE;39.99;;;;;
2400001X_RED;44.99;;;;;
2400001X_WHITE;44.99;;;;;
2400121U_BLACK;44.99;;;;;
2400330X_BLACK;53.99;;;;;
2400340U_BEIGE;59.99;;;;;
2400340_BLACK;59.99;;;;;
2400350U_BLACK;49.99;;;;;
2400483_BEIGE;53.99;;;;;
2400571U_BLACK;59.99;;;;;
2400630W_BLACK;48.99;;;;;
241635_1_BROWN;49.99;;;;;
241635_BROWN;49.99;;;;;
242533_BLACK;43.99;;;;;
242681_WHITE;49.99;;;;;
243046_OLIVE;53.99;;;;;
243180_WHITE;49.99;;;;;
243316_WHITE;57.99;;;;;
243317_WHITE;54.99;;;;;
243368_BLACK;44.99;;;;;
243377_BLACK;58.99;;;;;
243380_NAVY;58.99;;;;;
243418_BLACK;49.99;;;;;
2490A_NAVY;19.78;;;;;
253_N_BEIGE;32.99;;;;;
253_N_BLACK;32.99;;;;;
253_N_BLUE;32.99;;;;;
2600000_BLACK;28.99;;;;;
2600000_PINK;28.99;;;;;
2600120K_BLACK;28.99;;;;;
2600341T_BLACK;47.99;;;;;
2600710K_NAVY;28.99;;;;;
2600920K_NAVY;28.99;;;;;
2601220K_NAVY;28.99;;;;;
2609820_RED;28.99;;;;;
260991K_OLIVE;45.99;;;;;
260_110;8.49;;;;;
260_119;8.49;;;;;
261071K_RED;42.99;;;;;
261561PL_PINK;9.99;;;;;
261561_1PL_PINK;9.99;;;;;
261603PL_NAVY;9.99;;;;;
2636_NERO2;30.39;;;;;
26669_AB480_02064;24.99;;;;;
2681_NAVY;35.70;;;;;
26K001201_NAVY_ROSE;59.99;;;;;
26K0042001_MINT;49.99;;;;;
26K0051001_BLACK;39.99;;;;;
26K0051001_GREY;39.99;;;;;
27018_AF383_20797;24.99;;;;;
27238_BH322_02586;32.99;;;;;
2746200;9.16;;;;;
2816001_OLIVE;39.68;;;;;
2837_NAVY;19.78;;;;;
295685_GREEN;7.83;;;;;
295685_NAVY;7.83;;;;;
300M_BLACK;48.99;;;;;
300M_WHITE;48.99;;;;;
300_BLACK;49.99;;;;;
300_PERLA;49.99;;;;;
300_WHITE;49.99;;;;;
30283_WHT_PINK;44.99;;;;;
30285_BLACK;49.99;;;;;
3130_BLACK;36.99;;;;;
316642_N_NAVY;24.99;;;;;
3200_BLACK;51.99;;;;;
3200_N_PERLA;51.99;;;;;
3200_WHITE;51.99;;;;;
32504_BEIGE;66.99;;;;;
326106_BLACK;26.41;;;;;
326106_BROWN;26.41;;;;;
326106_NAVY;26.41;;;;;
3300_N_BLACK;44.99;;;;;
3300_N_PERLA;44.99;;;;;
3300_N_WHITE;44.99;;;;;
3500148_NAVY;11.81;;;;;
3500275_BROWN;35.70;;;;;
3500769_BLUE;9.16;;;;;
3500769_PINK;9.16;;;;;
3500769_PINKI;9.16;;;;;
3500769_RED;9.16;;;;;
3500914_GREY_BLACK;26.41;;;;;
3500941_PINK;30.39;;;;;
3500_BLACK;42.99;;;;;
3500_N_BLACK;44.99;;;;;
3500_N_WHITE;44.99;;;;;
3501052;26.41;;;;;
3501052_BLUE;26.41;;;;;
3501080_NAVY;6.50;;;;;
3501080_PINKY;6.50;;;;;
3501394_GREY;26.41;;;;;
3501668_NAVY;33.05;;;;;
3501699_NAVY;34.38;;;;;
3501911_BLACK;16.99;;;;;
3501911_BLUE;16.99;;;;;
3501911_WHITE;16.99;;;;;
3501944_BLUE;35.70;;;;;
3501944_GREY;35.70;;;;;
3501947_BLACK;35.70;;;;;
3502053_BLUE;35.70;;;;;
3502053_NAVY;35.70;;;;;
3502055_1_BLUE;24.99;;;;;
3502055_NAVY;35.70;;;;;
3502467_BLACK;29.99;;;;;
3502467_GREY;29.99;;;;;
3520_BEIGE;19.99;;;;;
360_1RED;47.99;;;;;
360_BLACK;47.99;;;;;
360_RED;47.99;;;;;
39212_BLACK;50.99;;;;;
4003_002_WHITE_BORDO;13.09;;;;;
4148_1_SMEDA;24.99;;;;;
4148_7_NAVY;24.99;;;;;
4148_Y_BLACK;27.99;;;;;
4148_Y_NAVY;27.99;;;;;
4250_BLACK;49.99;;;;;
4250_WHITE;49.99;;;;;
4251_MINT_SILVER;47.99;;;;;
4251_PERLA;51.99;;;;;
430352_BORDO;15.99;;;;;
430352_NAVY;15.99;;;;;
4350_FLOWER;32.99;;;;;
4350_FLOWER_WHT;32.99;;;;;
4350_HEARTS;32.99;;;;;
4352_1FLOWER;32.99;;;;;
4367_FLOWER_BLK;32.99;;;;;
4367_WHT_FLOWER;32.99;;;;;
4371_WHITE;32.99;;;;;
4372_1FLOWER;32.99;;;;;
4372_BLK_FLOWER;28.99;;;;;
4944_PURPLE;36.99;;;;;
5001_BLACK;52.99;;;;;
5001_N_BLACK;52.99;;;;;
5001_N_WHITE;52.99;;;;;
5001_PERLA;52.99;;;;;
5001_RED;45.99;;;;;
5001_WHITE;52.99;;;;;
5002_N_BLACK;51.99;;;;;
5002_N_PERLA;51.99;;;;;
5002_N_WHITE;51.99;;;;;
5011_BLUE;27.99;;;;;
501_WHITE;9.99;;;;;
5370_BLACK;26.99;;;;;
590543_GREEN;39.68;;;;;
590553_PINK;39.68;;;;;
590561_NAVY;39.68;;;;;
590592_BLUE;33.05;;;;;
5971MED;14.99;;;;;
598_01_BEIGE;16.99;;;;;
600000;2.92;;;;;
6000_1_BLACK;55.99;;;;;
6000_1_WHITE;55.99;;;;;
6005_N_BLACK;57.99;;;;;
6005_N_WHITE;57.99;;;;;
60107;5.18;;;;;
6204_BEIGE;29.90;;;;;
6204_BLACK;29.90;;;;;
6204_BLUE;29.90;;;;;
6204_WHITE;29.90;;;;;
6500944B;899.00;;;;;
6500944BC;899.00;;;;;
6500944_21;899.00;;;;;
6500944_A;899.00;;;;;
6501685_C;199.99;;;;;
6501851A;132.59;;;;;
6502035_JEDNOROG;16.99;;;;;
6502035_LAMA;16.99;;;;;
6502035_VODENKONJ;16.99;;;;;
6502156G;14.99;;;;;
6502156N;14.99;;;;;
6502156RK;6.99;;;;;
6502156RKG;6.99;;;;;
6502156SK;15.00;;;;;
6502156_C;303.94;;;;;
6502156_TA;39.99;;;;;
6502157;39.00;;;;;
6502157P;14.99;;;;;
6502157VB;49.99;;;;;
6502157_B;39.00;;;;;
6502157_CV;11.99;;;;;
65025PT_A;199.99;;;;;
65025PT_B;199.99;;;;;
6502704_A_396;249.00;;;;;
6711_OLIVE;42.99;;;;;
700_M_BLACK;45.99;;;;;
700_M_WHITE;45.99;;;;;
70210_BLACK;48.99;;;;;
70221_BLK;48.99;;;;;
712_PINK;19.78;;;;;
750_1BLACK;32.99;;;;;
750_1BLUE;32.99;;;;;
750_1WHITE;32.99;;;;;
800_WHITE;42.99;;;;;
812_WHITE;38.99;;;;;
81753U_LEE;55.61;;;;;
81875U_LUA;49.99;;;;;
8188OU_LUA;44.99;;;;;
81997_BC815_35357;22.99;;;;;
82598_AS039_20676;28.99;;;;;
82670_20032_04297;18.45;;;;;
82935_BLUE;30.39;;;;;
83243_AS021_02102;25.99;;;;;
83244_20766_02234;25.99;;;;;
83244_BD842_02102;25.99;;;;;
83335_AH731_04121;24.99;;;;;
83349_AH867_05857;19.99;;;;;
83349_AH869_05857;19.99;;;;;
83386_AJ500_02064;29.99;;;;;
83470_AO899_20812;17.99;;;;;
83485_AR576_09942;30.99;;;;;
83527_BB402_02976;28.99;;;;;
83543_24006_41531;19.99;;;;;
83543_AQ993_33665;19.99;;;;;
83582_AW914_08679;15.99;;;;;
83585_AT220_33165;33.99;;;;;
83606_AW816_50230;28.99;;;;;
83609_AZ064_05809;17.99;;;;;
83614_AY571_36063;24.99;;;;;
83614_AY575_36063;24.99;;;;;
83615_BC943_09942;29.99;;;;;
83615_BC950_09942;29.99;;;;;
83621_AZ046_05809;17.99;;;;;
83629_BC877_02007;27.99;;;;;
83659_BB879_35357;22.99;;;;;
83660_BC739_08679;25.99;;;;;
8940A_BLACKGREY;7.99;;;;;
8940A_BLACKWHITE;7.99;;;;;
8940A_NAVYWHITE;7.99;;;;;
900_1BLACK;45.99;;;;;
900_1WHITE;45.99;;;;;
902_BLACK;49.99;;;;;
902_BLUE;49.99;;;;;
902_RED;49.99;;;;;
902_WHITE;49.99;;;;;
90301_BLACK;15.99;;;;;
90301_BLUE;15.99;;;;;
905_BLACK;43.99;;;;;
912_BLACK;48.99;;;;;
912_N_WHITE;51.99;;;;;
913_WHITE;51.99;;;;;2026-09-24
9421_PINKI;29.07;;;;;
950_BLACK;49.99;;;;;
950_PERLA;49.99;;;;;
950_WHITE;49.99;;;;;
953_BLACK;48.99;;;;;
953_BLUE;48.99;;;;;
953_WHITE;48.99;;;;;
95K0783001_NAVY;43.99;;;;;
968_BLACK;22.99;;;;;
9705_BROWN;28.99;;;;;
9705_GREY;28.99;;;;;
99966_BLACK;23.99;;;;;
9999003_BLACK;19.78;;;;;
A01_FLOWER_C;59.59;;;;;
A01_GREEN_N;59.59;;;;;
A01_HEART_C;59.59;;;;;
A01_PINK_C;59.59;;;;;
A01_PINK_C1;59.59;;;;;
A01_PINK_N;59.59;;;;;
A01_RED_C;59.59;;;;;
A02_BLACK_C;59.59;;;;;
A02_BLACK_C1;59.59;;;;;
A02_BLACK_CC;59.59;;;;;
A02_BLACK_NN;59.59;;;;;
A02_CRNA;59.59;;;;;
A02_WHITE_N;59.59;;;;;
A05_FLOWER_PC;62.25;;;;;
A06_SILVER_C;70.21;;;;;
A200_BLACK_W;50.30;;;;;
A200_CRNA;50.30;;;;;
A200_GOLD_I;50.30;;;;;
A200_GOLD_II;50.30;;;;;
A200_GREEN_1C;54.99;;;;;
A200_PINK;50.30;;;;;
A200_PINK_2;50.30;;;;;
A200_RED;50.30;;;;;
A200_WHITE;51.99;;;;;
A200_ZELENA;50.30;;;;;
A66_WHITE;14.99;;;;;
A8358_RED;17.12;;;;;
A8369_PINK;17.12;;;;;
AA01_2_TERAKOTA;62.99;;;;;
AA01_BEIGE;62.99;;;;;
AA01_BLACK;62.99;;;;;
AA01_BLACKPUDER;62.99;;;;;
AA01_BLACKWHT;62.99;;;;;
AA01_B_SILVER;62.99;;;;;
AA01_GOLDPUDER;62.99;;;;;
AA01_GOLDWHT;64.99;;;;;
AA01_HEART;62.99;;;;;
AA01_N_WHITE;62.99;;;;;
AA01_PERLAWHT;64.99;;;;;
AA01_P_GOLD;62.99;;;;;
AA01_SILVER;62.99;;;;;
AA01_SILVERW;62.99;;;;;2026-09-26
AA01_SILVERWHT;62.99;;;;;
AA01_TERAKOTAW;64.99;;;;;
AA01_WHITEG;62.99;;;;;2026-09-26
AA01_WWHITE;62.99;;;;;
AA200_GOLD;56.99;;;;;
AA200_GOLDWHT;56.99;;;;;
AA200_PERLAWHITE;56.99;;;;;
AC011_RED;10.49;;;;;
AFZAL_BROWN;10.49;;;;;
AFZAL_GREY;10.49;;;;;
AK0137_03_BLUE;19.78;;;;;
ALEX_GREY;56.00;;;;;
AMY_BROWN;11.81;;;;;
ARLA_BLACK;21.99;;;;;
ARLA_FUXIA;21.99;;;;;
ARLA_PURPLE;21.99;;;;;
ASPEN_BLACK_1;19.78;;;;;
ASPEN_NAVY_1;19.78;;;;;
AYLA_BLUE;10.49;;;;;
AYLA_BROWN;10.49;;;;;
AYLA_GREY;10.49;;;;;
B02_BLACK;19.99;;;;;
B104_PINKI;25.99;;;;;
B142_BLACK;25.99;;;;;
B185230_GREY;27.99;;;;;
B186870_BROWN;27.99;;;;;
B376_BLACK;7.99;;;;;
B376_BLUE;7.99;;;;;
B376_PINK;7.99;;;;;
B429463_BLACK;28.99;;;;;
B821203_BEIGE;25.99;;;;;
B850060_PINK;23.99;;;;;
B851340_BLACK;35.99;;;;;
B859270_NAVY;11.99;;;;;
B862280_NAVY;28.99;;;;;
B893695_NAVY;28.99;;;;;
B907240_GREY;23.99;;;;;
