"Šifra";"Sidrena cijena (EUR)"
"001_BEIGE";"28,99"
"001_BLACK";"1,19"
"0001_BLACK";"1,19"
"001_BLACKY";"28,99"
"0001_BROWN";"1,19"
"0001_RED";"1,19"
"001_WHITE";"2,49"
"1W8350_GREEN";"19,99"
"02_007_BEIGE";"21,10"
"02_007_BLACK";"21,10"
"02_007_CAMEL";"21,10"
"02_BLACK";"19,78"
"02_GREY";"19,78"
"2BFRO01";"21,10"
"2JAP15_BLUE";"6,50"
"2JAP23_PURPLE";"6,50"
"2JAP43_BLUE";"6,50"
"2JAP53_PURPLE";"6,50"
"2JAPM05_YELLOW";"6,50"
"2JAPS_PURPLE";"6,50"
"2JAPSS14_PURPLE";"6,50"
"2TGAV29";"15,79"
"2TGFRO51";"15,79"
"2TGPP22_23_PINK";"19,78"
"2TGPP22_33_BLUE";"19,78"
"3_2_BLK";"19,78"
"003_WHITE";"1,19"
"3JPP13_FUXIA";"6,50"
"3PA8S01H_PINK";"17,12"
"3PA8S05_NAVY";"17,12"
"3PW1972007_6500177";"72,86"
"3PW210021807_BLACK";"89,99"
"3SWPP22_03_1PINK";"10,49"
"3SWPP22_03_PINK";"10,49"
"3SWPP22_13_BLUE";"10,49"
"004_BLACK";"1,19"
"4BSTC03_BLK";"21,10"
"005_BROWN";"1,19"
"5BF592_BEIGE";"25,99"
"5BF592_BLACK";"25,99"
"006_WHITE";"1,19"
"007_BLUE";"1,19"
"007_RED";"1,19"
"8B991_BROWN";"26,41"
"9B1012_BORDO";"23,76"
"9B1028_BLACK";"26,41"
"9B1028_BROWN";"26,41"
"9B1059_BLACK";"22,43"
"010_011_BLACK";"39,68"
"010_011_RED";"39,68"
"010_486_BLACK";"39,68"
"010_GREY";"26,99"
"010_WHITE";"1,19"
"11_0324_17_NAVY";"5,09"
"011_BLACK";"1,19"
"12_28250_1D";"9,16"
"12_28250_1M";"9,16"
"12_28250_1M_GREY";"9,16"
"12_28250_1M_OLIVE";"9,16"
"12_28250_PINK";"9,09"
"12_28250_PURPLE";"9,09"
"012_BROWN";"1,19"
"012_WHITE";"48,89"
"013_WHITE";"48,89"
"0014_2_BLACK";"39,68"
"0014_2_COFFE";"39,68"
"0014_6A_COFFE";"39,68"
"014_WHITE";"48,89"
"14TX_BLACK";"18,45"
"14TX3_BROWN";"18,45"
"00015_RED";"1,19"
"00015_YELLOW";"1,19"
"15K0001001_BLACK";"66,99"
"15K0012002_BEIGE";"63,99"
"15K0172001_BROWN";"69,99"
"15K0211003_BLACK";"55,99"
"15K0261001_BLACK";"59,99"
"15K0281001_BROWN";"70,99"
"15K0313005_NAVY";"59,99"
"15K0313006_1NAVY";"46,99"
"15K0313006_NAVY";"46,99"
"15K0323003_NAVY";"52,99"
"16_46_HARO";"11,81"
"16_46_NAVY";"11,81"
"016_BLACK";"48,89"
"017_WHITE";"59,99"
"18_61141";"10,49"
"18_61141_BEIGE";"10,49"
"018_BLACK";"48,89"
"19_109_BLACK";"24,99"
"019_WHITE";"48,89"
"0023_1_COFFE";"39,68"
"025_007_MAX";"13,14"
"025_018_GINA_WHT_PURPLE";"13,14"
"025_037_FUXIA";"13,14"
"025_037_PURPLE";"13,14"
"026_BLACK";"19,78"
"026_GREY";"19,78"
"026_MORO";"10,49"
"026_NAVY";"19,78"
"026_NAVY_PINK";"19,78"
"026_PINK";"19,78"
"26K001201_NAVY_ROSE";"49,00"
"26K0042001_MINT";"39,00"
"26K0051001_BLACK";"29,90"
"26K0051001_GREY";"29,90"
"027_PINK";"10,49"
"031_GREY";"10,49"
"031_JEANS";"10,49"
"0032_4_BLACK";"39,68"
"035_BLACK";"25,08"
"036_1GREY";"17,99"
"036_2GREY";"17,99"
"036_3GREY";"17,99"
"036_GREY";"17,99"
"036_NAVY";"17,99"
"38FC139_CAMEL";"25,99"
"043_PINK";"14,99"
"044_KA_CAMEL";"33,05"
"044_KA_KHAKI";"33,05"
"045_BLACK";"14,99"
"46NORD_GREY";"92,77"
"051_BLACK";"25,08"
"051_BROWN";"28,99"
"000053_PLAVA";"20,99"
"000053_SIVA";"17,12"
"55_52_BLACK";"33,05"
"071_BLACK";"1,19"
"0071_NAVY";"1,19"
"072_1_GREY";"1,19"
"072_GREY";"1,19"
"073_BEIGE";"1,19"
"073_FUCHSIA";"10,49"
"080_1GREY";"1,19"
"080_GREY";"1,19"
"85_179_BEIGE_GOLD";"30,39"
"090_BEIGE";"1,19"
"95K0783001_NAVY";"33,90"
"00099_BROWN";"11,81"
"100_1GREY";"16,99"
"100_BORDO";"16,99"
"100_GREY";"16,99"
"100_NAVY";"14,99"
"101_07_BEIGE";"13,14"
"101_07_BLACK";"13,14"
"101_07_BLUE";"13,14"
"101_08_BEIGE";"13,14"
"101_08_BLACK";"13,14"
"101_08_BLUE";"13,14"
"101_BEIGE";"26,41"
"0101_BLACK";"15,99"
"0101_GREY";"15,99"
"0101_WHITE";"9,99"
"101_WHITE";"59,99"
"0102_BLACK";"15,99"
"0102_BLUE";"15,99"
"0102_WHITE";"6,99"
