"Naziv";"Woolf d.o.o."
"Adresa sjedišta";"Ograda 14, Vratišinec"
"OIB";"45374311169"
"Oblik prodajnog objekta";"Webshop"
"Oznaka prodajnog prostora";"160"
"Broj skladišta";"02"
"Datum cjenika";"20. 09. 2026."

"Naziv proizvoda";"Šifra";"Marka";"Jedinica mjere";"Cijena za jedinicu mjere (EUR)";"Maloprodajna cijena (EUR)";"Poseban oblik prodaje";"Naziv posebnog oblika prodaje";"Sidrena cijena – cijena na dan 10. 09. 2026. (EUR)";"Barkod";"Dostupnost";"Veličina";"Boja";"Kategorija";"Poveznica"
"70mai 70mai A510 Dash Cam set sa stražnjom kamerom RC11 - siva";"sm-001377";"70mai";"kom";"159,00";"159,00";"NE";"";"159,00";"6971669782740";"Dostupno";"";"";"Uređaji - TEHNIKA - Auto kamere";"https://woolf.hr/70mai-a510-dash-cam-set-sa-straznjom-kamerom-rc11-siva-proizvod-12524/"
"70mai 70mai A800SE 4K Dash Cam (4G)";"sm-001549";"70mai";"kom";"149,00";"149,00";"NE";"";"149,00";"6971669784706";"Dostupno";"";"";"Uređaji - TEHNIKA - Auto kamere";"https://woolf.hr/70mai-a800se-4k-dash-cam-4g-proizvod-12929/"
"70mai 70mai A800SE 4K Dash Cam + RC22 stražnja kamera - komplet";"sm-001416";"70mai";"kom";"169,00";"169,00";"NE";"";"169,00";"6971669780951";"Dostupno";"";"";"Uređaji - TEHNIKA - Auto kamere";"https://woolf.hr/70mai-a800se-4k-dash-cam-rc22-straznja-kamera-komplet-proizvod-12496/"
"70mai 70mai A800SE 4K Dash Cam + RC22 stražnja kamera - komplet (4G)";"sm-001531";"70mai";"kom";"179,00";"179,00";"NE";"";"179,00";"6971669786380";"Dostupno";"";"";"Uređaji - TEHNIKA - Auto kamere";"https://woolf.hr/70mai-a800se-4k-dash-cam-rc22-straznja-kamera-komplet-4g-proizvod-12821/"
"70mai 70mai A810S - 4K Dash Cam + RC24 set auto kamere sa stražnjom kamerom";"sm-001451";"70mai";"kom";"249,00";"249,00";"NE";"";"249,00";"6971669785024";"Dostupno";"";"";"Uređaji - TEHNIKA - Auto kamere";"https://woolf.hr/70mai-a810s-4k-dash-cam-rc24-set-auto-kamere-sa-straznjom-kamerom-proizvod-12652/"
"70mai 70mai A810S - 4K Dash Cam auto kamera";"sm-001477";"70mai";"kom";"219,00";"219,00";"NE";"";"219,00";"6971669785017";"Dostupno";"";"";"Uređaji - TEHNIKA - Auto kamere";"https://woolf.hr/70mai-a810s-4k-dash-cam-auto-kamera-proizvod-12551/"
"70mai 70mai Dash Cam Pro Plus A500S + RC06 stražnja kamera - set";"sm-000425";"70mai";"kom";"149,00";"149,00";"NE";"";"149,00";"6971669780913";"Dostupno";"";"";"Uređaji - TEHNIKA - Auto kamere";"https://woolf.hr/70mai-dash-cam-pro-plus-a500s-rc06-straznja-kamera-set-proizvod-12560/"
"70mai 70mai Jump Starter MAX PS06 - powerbank za pokretanje akumulatora";"sm-000824";"70mai";"kom";"119,00";"119,00";"NE";"";"119,00";"6971669780142";"Dostupno";"";"";"Uređaji - TEHNIKA - Gadgeti";"https://woolf.hr/70mai-jump-starter-max-ps06-powerbank-za-pokretanje-akumulatora-proizvod-12495/"
"70mai 70mai M800 Dash Cam 128GB";"sm-001478";"70mai";"kom";"249,00";"249,00";"NE";"";"249,00";"6971669784508";"Dostupno";"";"";"Uređaji - TEHNIKA - Auto kamere";"https://woolf.hr/70mai-m800-dash-cam-128gb-proizvod-12559/"
"70mai 70mai M800 Dash Cam 128GB + RC14 - set";"sm-001479";"70mai";"kom";"289,00";"289,00";"NE";"";"289,00";"6971669784539";"Dostupno";"";"";"Uređaji - TEHNIKA - Auto kamere";"https://woolf.hr/70mai-m800-dash-cam-128gb-rc14-set-proizvod-12485/"
"70mai 70mai Omni X800 4K + RC14 Dash Cam Set";"sm-001376";"70mai";"kom";"369,00";"369,00";"NE";"";"369,00";"6971669784942";"Dostupno";"";"";"Uređaji - TEHNIKA - Auto kamere";"https://woolf.hr/70mai-omni-x800-4k-rc14-dash-cam-set-proizvod-12653/"
"70mai 70mai Omni X800 Dash Cam";"sm-001375";"70mai";"kom";"349,00";"349,00";"NE";"";"349,00";"6971669784096";"Dostupno";"";"";"Uređaji - TEHNIKA - Auto kamere";"https://woolf.hr/70mai-omni-x800-dash-cam-proizvod-12533/"
"70mai 70mai RC11 stražnja kamera za A810, A800S, Dash Cam Pro Plus+, A400, A200";"sm-RC11";"70mai";"kom";"34,99";"34,99";"NE";"";"34,99";"6971669782412";"Dostupno";"";"";"Uređaji - TEHNIKA - Auto kamere";"https://woolf.hr/70mai-rc11-straznja-kamera-za-a810-a800s-dash-cam-pro-plus-a400-a200-proizvod-12534/"
"70mai 70mai T400 Dash Cam + RC21 - set";"sm-001501";"70mai";"kom";"169,00";"169,00";"NE";"";"169,00";"6971669786519";"Dostupno";"";"";"Uređaji - TEHNIKA - Auto kamere";"https://woolf.hr/70mai-t400-dash-cam-rc21-set-proizvod-12772/"
"70mai 70mai T800 + RC24 - Dash Cam Set (SD 128 GB)";"sm-001495";"70mai";"kom";"379,00";"379,00";"NE";"";"379,00";"6971669784331";"Dostupno";"";"";"Uređaji - TEHNIKA - Auto kamere";"https://woolf.hr/70mai-t800-rc24-dash-cam-set-sd-128-gb-proizvod-12644/"
"70mai 70mai T800 + RC24 - Dash Cam Set (SD 256 GB)";"sm-001450";"70mai";"kom";"399,00";"399,00";"NE";"";"399,00";"6971669784331";"Dostupno";"";"";"Uređaji - TEHNIKA - Auto kamere";"https://woolf.hr/70mai-t800-rc24-dash-cam-set-sd-256-gb-proizvod-12523/"
"70mai 70mai T800 + RC41 Premium - 4K Dash Cam Set (SD 256 GB)";"sm-001494";"70mai";"kom";"449,00";"449,00";"NE";"";"449,00";"6971669784386";"Dostupno";"";"";"Uređaji - TEHNIKA - Auto kamere";"https://woolf.hr/70mai-t800-rc41-premium-4k-dash-cam-set-sd-256-gb-proizvod-12646/"
"70mai 70mai TPMS senzor";"sm-001369";"70mai";"kom";"69,99";"69,99";"NE";"";"69,99";"6971669781484";"Dostupno";"";"";"Uređaji - TEHNIKA - Auto kamere";"https://woolf.hr/70mai-tpms-senzor-proizvod-12446/"
"ADLER DJEČJA MAJICA";"138_BLACK-4";"ADLER";"kom";"3,79";"3,79";"DA";"Akcija";"3,79";"";"Dostupno";"4";"crna";"Dječje - Odjeća - Majice - T-shirt";"https://woolf.hr/djecja-majica-proizvod-5017/"
"ADLER DJEČJA MAJICA";"138_BLACK-6";"ADLER";"kom";"3,79";"3,79";"DA";"Akcija";"3,79";"";"Nedostupno";"6";"crna";"Dječje - Odjeća - Majice - T-shirt";"https://woolf.hr/djecja-majica-proizvod-5017/"
"ADLER DJEČJA MAJICA";"138_BLACK-8";"ADLER";"kom";"3,79";"3,79";"DA";"Akcija";"3,79";"";"Nedostupno";"8";"crna";"Dječje - Odjeća - Majice - T-shirt";"https://woolf.hr/djecja-majica-proizvod-5017/"
"ADLER DJEČJA MAJICA";"138_BLACK-10";"ADLER";"kom";"3,79";"3,79";"DA";"Akcija";"3,79";"";"Nedostupno";"10";"crna";"Dječje - Odjeća - Majice - T-shirt";"https://woolf.hr/djecja-majica-proizvod-5017/"
"ADLER DJEČJA MAJICA";"138_BLACK-12";"ADLER";"kom";"3,79";"3,79";"DA";"Akcija";"3,79";"";"Nedostupno";"12";"crna";"Dječje - Odjeća - Majice - T-shirt";"https://woolf.hr/djecja-majica-proizvod-5017/"
"ADLER DJEČJA MAJICA";"138_MALINE-4";"ADLER";"kom";"3,79";"3,79";"DA";"Akcija";"3,79";"";"Dostupno";"4";"pink";"Dječje - Odjeća - Majice - T-shirt";"https://woolf.hr/djecja-majica-basic-proizvod-4627/"
"ADLER DJEČJA MAJICA";"138_MALINE-6";"ADLER";"kom";"3,79";"3,79";"DA";"Akcija";"3,79";"";"Nedostupno";"6";"pink";"Dječje - Odjeća - Majice - T-shirt";"https://woolf.hr/djecja-majica-basic-proizvod-4627/"
"ADLER DJEČJA MAJICA";"138_MALINE-8";"ADLER";"kom";"3,79";"3,79";"DA";"Akcija";"3,79";"";"Nedostupno";"8";"pink";"Dječje - Odjeća - Majice - T-shirt";"https://woolf.hr/djecja-majica-basic-proizvod-4627/"
"ADLER DJEČJA MAJICA";"138_MALINE-10";"ADLER";"kom";"3,79";"3,79";"DA";"Akcija";"3,79";"";"Nedostupno";"10";"pink";"Dječje - Odjeća - Majice - T-shirt";"https://woolf.hr/djecja-majica-basic-proizvod-4627/"
"ADLER DJEČJA MAJICA";"138_MALINE-12";"ADLER";"kom";"3,79";"3,79";"DA";"Akcija";"3,79";"";"Nedostupno";"12";"pink";"Dječje - Odjeća - Majice - T-shirt";"https://woolf.hr/djecja-majica-basic-proizvod-4627/"
"ADLER DJEČJA MAJICA";"138_RED-4";"ADLER";"kom";"3,79";"3,79";"DA";"Akcija";"3,79";"";"Dostupno";"4";"crvena";"Dječje - Odjeća - Majice - T-shirt";"https://woolf.hr/djecja-majica-basic-proizvod-4625/"
"ADLER DJEČJA MAJICA";"138_RED-6";"ADLER";"kom";"3,79";"3,79";"DA";"Akcija";"3,79";"";"Nedostupno";"6";"crvena";"Dječje - Odjeća - Majice - T-shirt";"https://woolf.hr/djecja-majica-basic-proizvod-4625/"
"ADLER DJEČJA MAJICA";"138_RED-8";"ADLER";"kom";"3,79";"3,79";"DA";"Akcija";"3,79";"";"Nedostupno";"8";"crvena";"Dječje - Odjeća - Majice - T-shirt";"https://woolf.hr/djecja-majica-basic-proizvod-4625/"
"ADLER DJEČJA MAJICA";"138_RED-10";"ADLER";"kom";"3,79";"3,79";"DA";"Akcija";"3,79";"";"Nedostupno";"10";"crvena";"Dječje - Odjeća - Majice - T-shirt";"https://woolf.hr/djecja-majica-basic-proizvod-4625/"
"ADLER DJEČJA MAJICA";"138_RED-12";"ADLER";"kom";"3,79";"3,79";"DA";"Akcija";"3,79";"";"Nedostupno";"12";"crvena";"Dječje - Odjeća - Majice - T-shirt";"https://woolf.hr/djecja-majica-basic-proizvod-4625/"
