"Naziv";"Woolf d.o.o."
"Adresa sjedišta";"Ograda 14, Vratišinec"
"OIB";"45374311169"
"Oblik prodajnog objekta";"Webshop"
"Oznaka prodajnog prostora";"160"
"Broj skladišta";"02"
"Datum cjenika";"20. 09. 2026."

"Naziv proizvoda";"Šifra";"Marka";"Jedinica mjere";"Cijena za jedinicu mjere (EUR)";"Maloprodajna cijena (EUR)";"Poseban oblik prodaje";"Naziv posebnog oblika prodaje";"Sidrena cijena – cijena na dan 10. 09. 2026. (EUR)";"Barkod";"Dostupnost";"Varijante i dostupnost";"Barkodovi varijanti";"Kategorija";"Poveznica"
"70mai 70mai A510 Dash Cam set sa stražnjom kamerom RC11 - siva";"sm-001377";"70mai";"kom";"159,00";"159,00";"NE";"";"159,00";"6971669782740";"Dostupno";"sm-001377: Dostupno";"sm-001377: 6971669782740";"Uređaji - TEHNIKA - Auto kamere";"https://woolf.hr/70mai-a510-dash-cam-set-sa-straznjom-kamerom-rc11-siva-proizvod-12524/"
"70mai 70mai A800SE 4K Dash Cam (4G)";"sm-001549";"70mai";"kom";"149,00";"149,00";"NE";"";"149,00";"6971669784706";"Dostupno";"sm-001549: Dostupno";"sm-001549: 6971669784706";"Uređaji - TEHNIKA - Auto kamere";"https://woolf.hr/70mai-a800se-4k-dash-cam-4g-proizvod-12929/"
"70mai 70mai A800SE 4K Dash Cam + RC22 stražnja kamera - komplet";"sm-001416";"70mai";"kom";"169,00";"169,00";"NE";"";"169,00";"6971669780951";"Dostupno";"sm-001416: Dostupno";"sm-001416: 6971669780951";"Uređaji - TEHNIKA - Auto kamere";"https://woolf.hr/70mai-a800se-4k-dash-cam-rc22-straznja-kamera-komplet-proizvod-12496/"
"70mai 70mai A800SE 4K Dash Cam + RC22 stražnja kamera - komplet (4G)";"sm-001531";"70mai";"kom";"179,00";"179,00";"NE";"";"179,00";"6971669786380";"Dostupno";"sm-001531: Dostupno";"sm-001531: 6971669786380";"Uređaji - TEHNIKA - Auto kamere";"https://woolf.hr/70mai-a800se-4k-dash-cam-rc22-straznja-kamera-komplet-4g-proizvod-12821/"
"70mai 70mai A810S - 4K Dash Cam + RC24 set auto kamere sa stražnjom kamerom";"sm-001451";"70mai";"kom";"249,00";"249,00";"NE";"";"249,00";"6971669785024";"Dostupno";"sm-001451: Dostupno";"sm-001451: 6971669785024";"Uređaji - TEHNIKA - Auto kamere";"https://woolf.hr/70mai-a810s-4k-dash-cam-rc24-set-auto-kamere-sa-straznjom-kamerom-proizvod-12652/"
"70mai 70mai A810S - 4K Dash Cam auto kamera";"sm-001477";"70mai";"kom";"219,00";"219,00";"NE";"";"219,00";"6971669785017";"Dostupno";"sm-001477: Dostupno";"sm-001477: 6971669785017";"Uređaji - TEHNIKA - Auto kamere";"https://woolf.hr/70mai-a810s-4k-dash-cam-auto-kamera-proizvod-12551/"
"70mai 70mai Dash Cam Pro Plus A500S + RC06 stražnja kamera - set";"sm-000425";"70mai";"kom";"149,00";"149,00";"NE";"";"149,00";"6971669780913";"Dostupno";"sm-000425: Dostupno";"sm-000425: 6971669780913";"Uređaji - TEHNIKA - Auto kamere";"https://woolf.hr/70mai-dash-cam-pro-plus-a500s-rc06-straznja-kamera-set-proizvod-12560/"
"70mai 70mai Jump Starter MAX PS06 - powerbank za pokretanje akumulatora";"sm-000824";"70mai";"kom";"119,00";"119,00";"NE";"";"119,00";"6971669780142";"Dostupno";"sm-000824: Dostupno";"sm-000824: 6971669780142";"Uređaji - TEHNIKA - Gadgeti";"https://woolf.hr/70mai-jump-starter-max-ps06-powerbank-za-pokretanje-akumulatora-proizvod-12495/"
"70mai 70mai M800 Dash Cam 128GB";"sm-001478";"70mai";"kom";"249,00";"249,00";"NE";"";"249,00";"6971669784508";"Dostupno";"sm-001478: Dostupno";"sm-001478: 6971669784508";"Uređaji - TEHNIKA - Auto kamere";"https://woolf.hr/70mai-m800-dash-cam-128gb-proizvod-12559/"
"70mai 70mai M800 Dash Cam 128GB + RC14 - set";"sm-001479";"70mai";"kom";"289,00";"289,00";"NE";"";"289,00";"6971669784539";"Dostupno";"sm-001479: Dostupno";"sm-001479: 6971669784539";"Uređaji - TEHNIKA - Auto kamere";"https://woolf.hr/70mai-m800-dash-cam-128gb-rc14-set-proizvod-12485/"
